Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
379,38.0,1,0.0002814035392843167,0,1,0
380,35.0,1,0.008896038958215575,0,0,0
381,36.0,1,0.0005881994869342145,0,0,0
382,41.0,2,0.05712352710987434,0,3,1
383,6.0,1,2.0696552024001044e-05,2,10,0
384,32.0,1,0.00011209183007956867,3,6,1
385,4.0,1,0.0003147962954911083,0,1,0
386,17.0,1,0.0006136788556024175,1,1,0
387,13.0,1,0.0006041132223140136,0,14,0
388,5.0,1,0.00022844471498760816,0,1,0
389,32.0,1,0.0003869733466672464,0,0,0
390,0.0,1,0.0004846297665115875,0,13,0
391,9.0,1,0.00017852950128266446,0,1,0
392,1.0,1,0.0016877255532849254,1,0,0
393,3.0,1,0.011224053219705205,0,0,0
394,35.0,1,0.002904126266359407,0,1,0
395,4.0,1,0.006230096960737424,2,16,0
396,32.0,1,0.00012817948606461151,0,1,0
397,1.0,1,6.408974303230576e-05,1,6,0
398,20.0,1,8.696030262185312e-05,2,21,0
399,17.0,1,0.002178703421887908,0,0,0
400,21.0,1,0.0008261228749076047,0,1,0
401,3.0,2,0.006745510674377147,0,1,1
402,37.0,1,0.00031644854124092354,1,Paper/Films,0
403,35.0,1,0.0041092221400930475,0,0,0
404,1.0,1,0.006024348884734119,0,0,0
405,10.0,2,8.182964476716379e-05,0,1,1
406,25.0,0,0.004342710552632723,1,Paper/Films,0
407,32.0,1,4.365407191617027e-05,0,1,0
408,10.0,1,0.00011765728944736728,1,6,0
409,6.0,1,3.478412104874125e-05,0,0,0
410,25.0,2,0.0001522674898908648,0,6,1
411,1.0,2,0.0,2,17,1
412,47.0,1,5.7219879125179354e-05,0,7,1
413,6.0,1,0.0006864646288969085,0,0,0
414,28.0,2,0.0018522544458454714,0,11,1
415,42.0,1,0.0,0,1,0
416,6.0,0,0.003076916387669029,0,1,0
417,17.0,2,0.00016461585286316796,1,6,1
418,25.0,1,0.055611113526675075,0,0,0
419,28.0,1,0.0005652419670420453,0,0,0
420,25.0,0,0.00021244401930518717,1,6,1
421,23.0,1,1.3565807209009087e-05,0,8,0
422,6.0,1,2.4870646549849992e-05,0,1,0
423,30.0,1,0.0005013261446149833,0,11,0
424,32.0,2,0.0004676725075003261,1,1,1
425,1.0,2,0.02385642854037132,0,0,1
426,1.0,1,0.0004929779555632853,0,1,0
427,1.0,1,0.00020305230662202704,0,1,0
428,17.0,2,4.095830253489282e-05,0,0,1
429,6.0,1,2.287055958954737e-05,0,0,1
430,4.0,1,5.7567720335666766e-05,0,1,0
431,0.0,0,6.2611417887734246e-06,0,1,0
432,29.0,0,0.0009636071133527545,1,1,0
433,15.0,1,0.0008039479977390321,1,1,0
434,1.0,1,4.739336492890995e-05,1,0,0
435,25.0,1,3.3044914996304187e-06,1,1,0
436,6.0,2,0.005418235575459803,0,0,1
437,6.0,1,0.0041103526240271315,0,22,0
438,3.0,1,0.0010410887429888255,0,0,0
439,13.0,1,0.0009108222096612897,0,0,0
440,11.0,1,0.003043436671159616,0,23,0
441,6.0,1,0.0007627288142962737,0,0,1
442,19.0,0,0.0042620113917996435,1,6,1
443,28.0,2,0.0009696073742336623,0,1,1
444,19.0,1,9.217792077916431e-06,0,1,0
445,1.0,1,0.0016087655985042829,0,1,0
446,25.0,1,0.0024147136832036176,0,1,0
447,6.0,1,3.008826470716118e-05,2,24,0
448,28.0,2,0.005000217400756555,0,0,1
449,32.0,0,1.2522283577546849e-05,1,Paper/Films,1
450,13.0,1,0.00027479455628505586,0,1,0
451,14.0,0,0.08813044045393278,0,13,0
452,1.0,2,0.0001196573764076699,0,1,1
453,7.0,1,0.0003977564241923562,0,1,0
454,9.0,1,0.0005077612070090003,0,14,0
455,21.0,1,0.00012252706639419105,0,1,0
456,6.0,1,1.1565720248706466e-05,3,15,0
457,6.0,1,4.121918344275838e-05,2,8,0
458,4.0,2,3.626244619331275e-05,1,21,1
459,6.0,1,0.00012174442367059437,2,10,0
460,17.0,0,0.0016124179312144006,0,1,0
461,32.0,1,0.00012565763728857775,0,1,0
462,15.0,1,0.00026653332753597984,1,1,0
463,25.0,1,0.0016087655985042829,3,0,0
464,1.0,1,0.0004811513544067133,1,Paper/Films,0
465,30.0,1,0.00011765728944736728,1,25,0
466,6.0,2,0.003104917605113266,0,0,1
467,36.0,1,0.0,4,Paper/Films,1
468,36.0,1,0.0,4,Paper/Films,1
469,36.0,1,3.478412104874125e-05,4,Paper/Films,1
470,36.0,1,4.139310404800209e-05,4,Paper/Films,1
471,36.0,1,4.348015131092656e-05,4,Paper/Films,1
472,36.0,1,4.348015131092656e-05,4,Paper/Films,1
473,36.0,1,0.04778468629070829,4,Paper/Films,1
474,0.0,1,0.0002869689986521153,0,0,1
475,0.0,2,0.0012549241271359625,0,0,1
476,35.0,0,0.00019618244271490064,1,7,0
477,17.0,1,0.002922996652028349,0,1,0
478,13.0,1,0.0012104004521935735,0,0,0
479,17.0,1,2.6522892299665205e-05,1,7,0
480,0.0,2,9.391712683160137e-06,1,1,1
481,47.0,1,0.0010996999869559547,0,5,0
482,6.0,2,0.0002807078568633419,1,1,1
483,32.0,1,8.261228749076046e-06,4,Paper/Films,0
484,14.0,1,0.0008426453324057567,0,1,0
485,6.0,1,0.0004223661898343406,1,1,0
486,13.0,1,0.0002767946432453585,0,0,0
487,45.0,1,0.0022579242575764165,0,0,0
488,0.0,2,0.0006019392147484673,0,6,1
489,40.0,1,7.052480542632289e-05,1,7,0
490,7.0,2,0.024990303926257663,0,1,1
491,13.0,2,0.0025768076872907516,0,1,1
492,4.0,1,0.0003760163485368929,1,7,0
493,38.0,2,0.0033070133484064523,0,1,1
494,36.0,1,0.0096414626722901,0,1,0
495,0.0,1,0.00012878820818296448,1,0,0
496,1.0,2,0.0,0,10,1
497,25.0,1,0.00024470629157789467,0,0,0
498,7.0,1,1.5652854471933561e-06,0,1,0
499,0.0,1,4.339319100830471e-05,1,1,0
500,15.0,1,0.0011711813557111178,0,1,0
501,28.0,1,5.0523935823296667e-05,1,1,0
502,35.0,1,0.0001782686203747989,0,1,0
503,0.0,1,0.009714422366189834,0,1,0
504,1.0,1,0.0001293099699986956,2,15,0
505,6.0,1,0.020290882212270097,0,1,0
506,6.0,1,3.582764468020349e-05,1,26,0
507,10.0,1,0.0023163615809383017,0,13,0
508,38.0,1,0.00018705161093960607,0,1,0
509,35.0,1,0.001563633201443541,0,1,0
510,48.0,1,0.0002765337623374929,0,1,0
511,14.0,1,0.006402191399626071,1,7,0
512,1.0,1,6.087221183529718e-07,0,1,0
513,42.0,1,0.00011678768642114874,0,1,0
514,17.0,1,0.0011662246184616723,0,1,0
515,37.0,1,0.0003271446584634115,0,0,0
516,16.0,2,0.0004991521370494369,0,1,1
517,45.0,1,0.0002174007565546328,0,1,0
518,6.0,0,0.00010070003043610591,2,27,0
519,21.0,1,0.00039132136179833904,0,1,0
520,35.0,2,0.0002695769381277447,0,1,1
521,7.0,1,0.0012430975259793903,0,1,0
522,1.0,1,0.004948997782512283,0,0,0
523,20.0,1,1.5913735379799123e-05,0,1,0
524,37.0,1,0.000815252837079873,1,14,0
525,37.0,1,0.011420061741814862,0,28,0
526,17.0,2,3.452324014087569e-05,0,0,1
527,13.0,1,3.5045001956606807e-05,1,7,0
528,45.0,0,0.00015652854471933563,0,0,0
529,13.0,1,0.00010704813252750119,2,Paper/Films,0
530,4.0,0,6.5220226966389844e-06,1,1,0
531,6.0,1,0.020198443410583067,0,1,0
532,21.0,1,0.0002756641593112744,0,1,0
533,6.0,1,0.0034088438627766426,0,1,0
534,36.0,1,0.0030700465237619027,0,1,0
535,20.0,1,7.95686768989956e-05,0,1,0
536,28.0,1,0.001657115526762033,0,0,0
537,3.0,1,0.00021731379625201095,0,1,0
538,1.0,1,0.0,2,10,1
539,32.0,1,0.02591695291099613,0,0,1
540,45.0,0,0.00012565763728857775,0,0,1
541,30.0,2,0.0019473890169137789,2,10,1
542,9.0,1,0.00019939997391190921,2,15,0
543,4.0,1,0.0005375016305056742,1,0,0
544,15.0,1,0.001281794860646115,0,1,0
545,9.0,1,1.8261663550589156e-05,1,29,0
546,38.0,1,2.6088090786555938e-05,1,8,0
547,28.0,2,0.0012617939910430887,0,1,1
548,0.0,1,0.006496108526457672,0,1,0
549,32.0,2,0.0049312578807774255,0,0,1
550,25.0,1,1.3044045393277969e-05,0,1,0
551,7.0,0,1.704421931388321e-05,1,Paper/Films,0
552,6.0,1,0.00016174616287664681,1,0,0
553,10.0,1,0.00013296230270881342,0,1,0
554,1.0,0,0.0004002782729683899,0,1,0
555,4.0,1,0.0012164007130744815,1,1,0
556,32.0,1,2.060959172137919e-05,0,1,0
557,42.0,1,0.0,2,8,0
